geo,total_number_of_dollar_billionaires,time
abkh,0,2004
abkh,0,2005
abkh,0,2006
abkh,0,2007
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
akr_a_dhe,0,2004
akr_a_dhe,0,2005
akr_a_dhe,0,2006
akr_a_dhe,0,2007
alb,0,2004
alb,0,2005
alb,0,2006
alb,0,2007
dza,0,2004
dza,0,2005
dza,0,2006
dza,0,2007
asm,0,2004
asm,0,2005
asm,0,2006
asm,0,2007
and,0,2004
and,0,2005
and,0,2006
and,0,2007
ago,0,2004
ago,0,2005
ago,0,2006
ago,0,2007
aia,0,2004
aia,0,2005
aia,0,2006
aia,0,2007
atg,0,2004
atg,0,2005
atg,0,2006
atg,0,2007
arg,1,2004
arg,1,2005
arg,1,2006
arg,1,2007
arm,0,2004
arm,0,2005
arm,0,2006
arm,0,2007
abw,0,2004
abw,0,2005
abw,0,2006
abw,0,2007
aus,5,2004
aus,6,2005
aus,7,2006
aus,12,2007
aut,3,2004
aut,4,2005
aut,3,2006
aut,3,2007
aze,0,2004
aze,0,2005
aze,0,2006
aze,0,2007
bhs,0,2004
bhs,0,2005
bhs,0,2006
bhs,0,2007
bhr,0,2004
bhr,0,2005
bhr,0,2006
bhr,0,2007
bgd,0,2004
bgd,0,2005
bgd,0,2006
bgd,0,2007
brb,0,2004
brb,0,2005
brb,0,2006
brb,0,2007
blr,0,2004
blr,0,2005
blr,0,2006
blr,0,2007
bel,1,2004
bel,1,2005
bel,2,2006
bel,2,2007
blz,0,2004
blz,0,2005
blz,0,2006
blz,0,2007
ben,0,2004
ben,0,2005
ben,0,2006
ben,0,2007
bmu,0,2004
bmu,0,2005
bmu,0,2006
bmu,0,2007
btn,0,2004
btn,0,2005
btn,0,2006
btn,0,2007
bol,0,2004
bol,0,2005
bol,0,2006
bol,0,2007
bih,0,2004
bih,0,2005
bih,0,2006
bih,0,2007
bwa,0,2004
bwa,0,2005
bwa,0,2006
bwa,0,2007
bra,6,2004
bra,8,2005
bra,16,2006
bra,20,2007
vgb,0,2004
vgb,0,2005
vgb,0,2006
vgb,0,2007
brn,0,2004
brn,0,2005
brn,0,2006
brn,0,2007
bgr,0,2004
bgr,0,2005
bgr,0,2006
bgr,0,2007
bfa,0,2004
bfa,0,2005
bfa,0,2006
bfa,0,2007
bdi,0,2004
bdi,0,2005
bdi,0,2006
bdi,0,2007
khm,0,2004
khm,0,2005
khm,0,2006
khm,0,2007
cmr,0,2004
cmr,0,2005
cmr,0,2006
cmr,0,2007
can,17,2004
can,17,2005
