geo,time,sg_population
abw,1800,19286.0
abw,1810,19286.0
abw,1820,19555.0
abw,1830,20332.0
abw,1840,21423.0
abw,1850,22574.0
abw,1860,23786.0
abw,1870,25063.0
abw,1880,26404.0
abw,1890,27817.0
abw,1900,29311.0
abw,1910,30881.0
abw,1920,32539.0
abw,1930,34286.0
abw,1940,36127.0
abw,1950,38066.0
abw,1951,38263.0
abw,1952,38965.0
abw,1953,40149.0
abw,1954,41763.0
abw,1955,43727.0
abw,1956,45933.0
abw,1957,48242.0
abw,1958,50499.0
abw,1959,52535.0
abw,1960,54208.0
abw,1961,55435.0
abw,1962,56226.0
abw,1963,56697.0
abw,1964,57029.0
abw,1965,57360.0
abw,1966,57712.0
abw,1967,58049.0
abw,1968,58385.0
abw,1969,58724.0
abw,1970,59065.0
abw,1971,59438.0
abw,1972,59849.0
abw,1973,60239.0
abw,1974,60525.0
abw,1975,60655.0
abw,1976,60589.0
abw,1977,60366.0
abw,1978,60106.0
abw,1979,59978.0
abw,1980,60096.0
abw,1981,60567.0
abw,1982,61344.0
abw,1983,62204.0
abw,1984,62831.0
abw,1985,63028.0
abw,1986,62644.0
abw,1987,61835.0
abw,1988,61077.0
abw,1989,61032.0
abw,1990,62148.0
abw,1991,64623.0
abw,1992,68235.0
abw,1993,72498.0
abw,1994,76700.0
abw,1995,80326.0
abw,1996,83195.0
abw,1997,85447.0
abw,1998,87276.0
abw,1999,89004.0
abw,2000,90858.0
abw,2001,92894.0
abw,2002,94995.0
abw,2003,97015.0
abw,2004,98742.0
abw,2005,100031.0
abw,2006,100830.0
abw,2007,101218.0
abw,2008,101342.0
abw,2009,101416.0
abw,2010,101597.0
abw,2011,101936.0
abw,2012,102393.0
abw,2013,102921.0
abw,2014,103441.0
abw,2015,103889.0
afg,1800,3280000.0
afg,1810,3280000.0
afg,1820,3323519.0
afg,1830,3448982.0
afg,1840,3625022.0
afg,1850,3810047.0
afg,1860,3973968.0
afg,1870,4169690.0
afg,1880,4419695.0
afg,1890,4710171.0
afg,1900,5021241.0
afg,1910,5351413.0
afg,1920,5813814.0
afg,1930,6394908.0
afg,1940,7034081.0
afg,1950,7752118.0
afg,1951,7839426.0
afg,1952,7934798.0
afg,1953,8038312.0
afg,1954,8150037.0
afg,1955,8270024.0
afg,1956,8398309.0
afg,1957,8534913.0
afg,1958,8679848.0
afg,1959,8833127.0
afg,1960,8994793.0
afg,1961,9164945.0
afg,1962,9343772.0
afg,1963,9531555.0
afg,1964,9728645.0
afg,1965,9935358.0
afg,1966,10148841.0
afg,1967,10368600.0
afg,1968,10599790.0
afg,1969,10849510.0
afg,1970,11121097.0
afg,1971,11412821.0
afg,1972,11716896.0
afg,1973,12022514.0
afg,1974,12315553.0
afg,1975,12582954.0
afg,1976,12831361.0
afg,1977,13056499.0
afg,1978,13222547.0
afg,1979,13283279.0
afg,1980,13211412.0
afg,1981,12996923.0
afg,1982,12667001.0
afg,1983,12279095.0
afg,1984,11912510.0
afg,1985,11630498.0
afg,1986,11438949.0
afg,1987,11337932.0
afg,1988,11375768.0
afg,1989,11608351.0
afg,1990,12067570.0
afg,1991,12789374.0
afg,1992,13745630.0
afg,1993,14824371.0
afg,1994,15869967.0
afg,1995,16772522.0
afg,1996,17481800.0
afg,1997,18034130.0
afg,1998,18511480.0
afg,1999,19038420.0
afg,2000,19701940.0
afg,2001,20531160.0
afg,2002,21487079.0
afg,2003,22507368.0
afg,2004,23499850.0
afg,2005,24399948.0
afg,2006,25183615.0
afg,2007,25877544.0
afg,2008,26528741.0
afg,2009,27207291.0
afg,2010,27962207.0
afg,2011,28809167.0
afg,2012,29726803.0
afg,2013,30682500.0
afg,2014,31627506.0
afg,2015,32526562.0
ago,1800,1567028.0
ago,1810,1567028.0
ago,1820,1597530.0
ago,1830,1686390.0
ago,1840,1813100.0
ago,1850,1949329.0
ago,1860,2110747.0
ago,1870,2285417.0
ago,1880,2473597.0
ago,1890,2677047.0
ago,1900,2898155.0
ago,1910,3136718.0
ago,1920,3387663.0
ago,1930,3642200.0
ago,1940,3920011.0
ago,1950,4354882.0
ago,1951,4439705.0
ago,1952,4529381.0
ago,1953,4621691.0
ago,1954,4714970.0
ago,1955,4808114.0
ago,1956,4900594.0
ago,1957,4992439.0
ago,1958,5084166.0
ago,1959,5176662.0
ago,1960,5270844.0
ago,1961,5367287.0
ago,1962,5465905.0
ago,1963,5565808.0
ago,1964,5665701.0
ago,1965,5765025.0
ago,1966,5863568.0
ago,1967,5962831.0
ago,1968,6066094.0
ago,1969,6177703.0
ago,1970,6300969.0
ago,1971,6437645.0
ago,1972,6587647.0
ago,1973,6750215.0
ago,1974,6923749.0
ago,1975,7107334.0
ago,1976,7299508.0
ago,1977,7501320.0
ago,1978,7717139.0
ago,1979,7952882.0
ago,1980,8211950.0
ago,1981,8497950.0
ago,1982,8807511.0
ago,1983,9128655.0
ago,1984,9444918.0
ago,1985,9745209.0
ago,1986,10023700.0
ago,1987,10285712.0
ago,1988,10544904.0
ago,1989,10820992.0
ago,1990,11127870.0
ago,1991,11472173.0
ago,1992,11848971.0
ago,1993,12246786.0
ago,1994,12648483.0
ago,1995,13042666.0
ago,1996,13424813.0
ago,1997,13801868.0
ago,1998,14187710.0
ago,1999,14601983.0
ago,2000,15058638.0
ago,2001,15562791.0
ago,2002,16109696.0
ago,2003,16691395.0
ago,2004,17295500.0
ago,2005,17912942.0
ago,2006,18541467.0
ago,2007,19183907.0
ago,2008,19842251.0
ago,2009,20520103.0
ago,2010,21219954.0
ago,2011,21942296.0
ago,2012,22685632.0
ago,2013,23448202.0
ago,2014,24227524.0
ago,2015,25021974.0
aia,1800,2025.0
aia,1810,2025.0
aia,1820,2064.0
aia,1830,2177.0
aia,1840,2338.0
aia,1850,2511.0
aia,1860,2693.0
aia,1870,2888.0
aia,1880,3097.0
aia,1890,3320.0
aia,1900,3561.0
aia,1910,3818.0
aia,1920,4097.0
aia,1930,4400.0
aia,1940,4725.0
aia,1950,5121.0
aia,1951,5297.0
aia,1952,5438.0
aia,1953,5549.0
aia,1954,5635.0
aia,1955,5697.0
aia,1956,5743.0
aia,1957,5777.0
aia,1958,5805.0
aia,1959,5831.0
aia,1960,5863.0
aia,1961,5901.0
aia,1962,5948.0
aia,1963,6001.0
aia,1964,6057.0
aia,1965,6114.0
aia,1966,6171.0
aia,1967,6228.0
aia,1968,6287.0
aia,1969,6344.0
aia,1970,6400.0
aia,1971,6454.0
aia,1972,6506.0
aia,1973,6554.0
aia,1974,6596.0
aia,1975,6630.0
aia,1976,6661.0
aia,1977,6691.0
aia,1978,6712.0
aia,1979,6715.0
aia,1980,6698.0
aia,1981,6652.0
aia,1982,6587.0
aia,1983,6537.0
aia,1984,6551.0
aia,1985,6662.0
aia,1986,6883.0
aia,1987,7198.0
aia,1988,7576.0
aia,1989,7966.0
aia,1990,8334.0
aia,1991,8668.0
aia,1992,8979.0
aia,1993,9266.0
aia,1994,9540.0
aia,1995,9807.0
aia,1996,10063.0
aia,1997,10305.0
aia,1998,10545.0
aia,1999,10797.0
aia,2000,11071.0
aia,2001,11371.0
aia,2002,11693.0
aia,2003,12023.0
aia,2004,12342.0
aia,2005,12637.0
aia,2006,12903.0
aia,2007,13145.0
aia,2008,13365.0
aia,2009,13571.0
aia,2010,13768.0
aia,2011,13956.0
aia,2012,14133.0
aia,2013,14300.0
aia,2014,14460.0
aia,2015,14614.0
akr_a_dhe,1950,10661.0
akr_a_dhe,1951,10737.0
akr_a_dhe,1952,10813.0
akr_a_dhe,1953,10889.0
akr_a_dhe,1954,10966.0
akr_a_dhe,1955,11043.0
akr_a_dhe,1956,11121.0
akr_a_dhe,1957,11200.0
akr_a_dhe,1958,11279.0
akr_a_dhe,1959,11358.0
akr_a_dhe,1960,11439.0
akr_a_dhe,1961,11519.0
akr_a_dhe,1962,11601.0
akr_a_dhe,1963,11683.0
akr_a_dhe,1964,11765.0
akr_a_dhe,1965,11848.0
akr_a_dhe,1966,11932.0
akr_a_dhe,1967,12016.0
akr_a_dhe,1968,12101.0
akr_a_dhe,1969,12187.0
akr_a_dhe,1970,12273.0
akr_a_dhe,1971,12359.0
akr_a_dhe,1972,12447.0
akr_a_dhe,1973,12535.0
akr_a_dhe,1974,12623.0
akr_a_dhe,1975,12712.0
akr_a_dhe,1976,12802.0
akr_a_dhe,1977,12892.0
akr_a_dhe,1978,12983.0
akr_a_dhe,1979,13075.0
akr_a_dhe,1980,13167.0
akr_a_dhe,1981,13260.0
akr_a_dhe,1982,13354.0
akr_a_dhe,1983,13448.0
akr_a_dhe,1984,13543.0
akr_a_dhe,1985,13639.0
akr_a_dhe,1986,13735.0
akr_a_dhe,1987,13832.0
akr_a_dhe,1988,13930.0
akr_a_dhe,1989,14028.0
akr_a_dhe,1990,14127.0
akr_a_dhe,1991,14227.0
akr_a_dhe,1992,14328.0
akr_a_dhe,1993,14429.0
akr_a_dhe,1994,14531.0
akr_a_dhe,1995,14633.0
akr_a_dhe,1996,14737.0
akr_a_dhe,1997,14841.0
akr_a_dhe,1998,14946.0
akr_a_dhe,1999,15051.0
akr_a_dhe,2000,15157.0
akr_a_dhe,2001,15264.0
akr_a_dhe,2002,15372.0
akr_a_dhe,2003,15481.0
akr_a_dhe,2004,15590.0
akr_a_dhe,2005,15700.0
akr_a_dhe,2006,15700.0
akr_a_dhe,2007,15700.0
akr_a_dhe,2008,15700.0
ala,1950,21649.0
ala,1951,21618.0
ala,1952,21546.0
ala,1953,21475.0
ala,1954,21404.0
ala,1955,21333.0
ala,1956,21262.0
ala,1957,21191.0
ala,1958,21121.0
ala,1959,21051.0
ala,1960,20994.0
ala,1961,20949.0
ala,1962,20918.0
ala,1963,20886.0
ala,1964,20854.0
ala,1965,20823.0
ala,1966,20791.0
ala,1967,20760.0
ala,1968,20729.0
ala,1969,20697.0
ala,1970,20744.0
ala,1971,20869.0
ala,1972,21074.0
ala,1973,21280.0
ala,1974,21489.0
ala,1975,21699.0
ala,1976,21912.0
ala,1977,22127.0
ala,1978,22344.0
ala,1979,22563.0
ala,1980,22768.0
ala,1981,22959.0
ala,1982,23137.0
ala,1983,23315.0
ala,1984,23495.0
ala,1985,23676.0
ala,1986,23859.0
ala,1987,24043.0
ala,1988,24229.0
ala,1989,24416.0
ala,1990,24579.0
ala,1991,24719.0
ala,1992,24834.0
ala,1993,24950.0
ala,1994,25066.0
ala,1995,25183.0
ala,1996,25301.0
ala,1997,25419.0
ala,1998,25537.0
ala,1999,25657.0
ala,2000,25813.0
ala,2001,26014.0
ala,2002,26204.0
ala,2003,26378.0
ala,2004,26530.0
ala,2005,26766.0
ala,2006,26923.0
ala,2007,26923.0
ala,2008,26923.0
ala,2009,26923.0
ala,2010,26923.0
alb,1800,410445.0
alb,1810,423591.0
alb,1820,438671.0
alb,1830,457234.0
alb,1840,478227.0
alb,1850,506889.0
alb,1860,552800.0
alb,1870,610036.0
alb,1880,672544.0
alb,1890,741688.0
alb,1900,819950.0
alb,1910,901122.0
alb,1920,963956.0
alb,1930,1015991.0
alb,1940,1123210.0
alb,1950,1263171.0
alb,1951,1287499.0
alb,1952,1316086.0
alb,1953,1348097.0
alb,1954,1382881.0
alb,1955,1419969.0
alb,1956,1459089.0
alb,1957,1500152.0
alb,1958,1543224.0
alb,1959,1588478.0
alb,1960,1636054.0
alb,1961,1685901.0
alb,1962,1737645.0
alb,1963,1790533.0
alb,1964,1843596.0
alb,1965,1896125.0
alb,1966,1947786.0
alb,1967,1998695.0
alb,1968,2049147.0
alb,1969,2099657.0
alb,1970,2150602.0
alb,1971,2202040.0
alb,1972,2253842.0
alb,1973,2305999.0
alb,1974,2358467.0
alb,1975,2411229.0
alb,1976,2464338.0
alb,1977,2517869.0
alb,1978,2571845.0
alb,1979,2626290.0
alb,1980,2681245.0
alb,1981,2735329.0
alb,1982,2788315.0
alb,1983,2842620.0
alb,1984,2901590.0
alb,1985,2966799.0
alb,1986,3041003.0
alb,1987,3121336.0
alb,1988,3197064.0
alb,1989,3253659.0
alb,1990,3281453.0
alb,1991,3275438.0
alb,1992,3240613.0
alb,1993,3189623.0
alb,1994,3140634.0
alb,1995,3106727.0
alb,1996,3092034.0
alb,1997,3092471.0
alb,1998,3102898.0
alb,1999,3114851.0
alb,2000,3121965.0
alb,2001,3124093.0
alb,2002,3123112.0
alb,2003,3117045.0
alb,2004,3103758.0
alb,2005,3082172.0
alb,2006,3050741.0
alb,2007,3010849.0
alb,2008,2968026.0
alb,2009,2929886.0
alb,2010,2901883.0
alb,2011,2886010.0
alb,2012,2880667.0
alb,2013,2883281.0
alb,2014,2889676.0
alb,2015,2896679.0
and,1800,2654.0
and,1810,2654.0
and,1820,2700.0
and,1830,2835.0
and,1840,3026.0
and,1850,3230.0
and,1860,3436.0
and,1870,3654.0
and,1880,3885.0
and,1890,4131.0
and,1900,4393.0
and,1910,4671.0
and,1920,4974.0
and,1930,5309.0
and,1940,5667.0
and,1950,6197.0
and,1951,6692.0
and,1952,7250.0
and,1953,7863.0
and,1954,8526.0
and,1955,9235.0
and,1956,9987.0
and,1957,10781.0
and,1958,11616.0
and,1959,12494.0
and,1960,13414.0
and,1961,14376.0
and,1962,15376.0
and,1963,16410.0
and,1964,17470.0
and,1965,18551.0
and,1966,19646.0
and,1967,20755.0
and,1968,21888.0
and,1969,23061.0
and,1970,24279.0
and,1971,25560.0
and,1972,26892.0
and,1973,28231.0
and,1974,29514.0
and,1975,30706.0
and,1976,31781.0
and,1977,32769.0
and,1978,33746.0
and,1979,34819.0
and,1980,36063.0
and,1981,37502.0
and,1982,39112.0
and,1983,40862.0
and,1984,42704.0
and,1985,44597.0
and,1986,46515.0
and,1987,48458.0
and,1988,50431.0
and,1989,52449.0
and,1990,54511.0
and,1991,56674.0
and,1992,58904.0
and,1993,61003.0
and,1994,62707.0
and,1995,63854.0
and,1996,64291.0
and,1997,64147.0
and,1998,63888.0
and,1999,64161.0
and,2000,65399.0
and,2001,67770.0
and,2002,71046.0
and,2003,74783.0
and,2004,78337.0
and,2005,81223.0
and,2006,83373.0
and,2007,84878.0
and,2008,85616.0
and,2009,85474.0
and,2010,84419.0
and,2011,82326.0
and,2012,79316.0
and,2013,75902.0
and,2014,72786.0
and,2015,70473.0
ant,1950,112188.0
ant,1951,113954.0
ant,1952,116163.0
ant,1953,118338.0
ant,1954,120537.0
ant,1955,122794.0
ant,1956,125123.0
ant,1957,127514.0
ant,1958,129941.0
ant,1959,132366.0
ant,1960,134755.0
ant,1961,137090.0
ant,1962,139387.0
ant,1963,141689.0
ant,1964,144054.0
ant,1965,146530.0
ant,1966,149127.0
ant,1967,151801.0
ant,1968,154436.0
ant,1969,156893.0
ant,1970,159058.0
ant,1971,160894.0
ant,1972,162432.0
ant,1973,163769.0
ant,1974,165022.0
ant,1975,166281.0
ant,1976,167587.0
ant,1977,168945.0
ant,1978,170352.0
ant,1979,171808.0
ant,1980,173309.0
ant,1981,174850.0
ant,1982,176437.0
ant,1983,178091.0
ant,1984,179836.0
ant,1985,181690.0
ant,1986,183639.0
ant,1987,185621.0
ant,1988,187506.0
ant,1989,189136.0
ant,1990,190405.0
ant,1991,191276.0
ant,1992,191730.0
ant,1993,191704.0
ant,1994,191116.0
ant,1995,189891.0
ant,1996,188037.0
ant,1997,185720.0
ant,1998,183322.0
ant,1999,181325.0
ant,2000,180106.0
ant,2001,179818.0
ant,2002,180431.0
ant,2003,181793.0
ant,2004,183603.0
ant,2005,185967.0
ant,2006,188700.0
ant,2007,191788.0
ant,2008,194999.0
ant,2009,198037.0
ant,2010,200689.0
ant,2011,202847.0
ant,2012,204538.0
ant,2013,205860.0
are,1800,40153.0
are,1810,40153.0
are,1820,40153.0
are,1830,40153.0
are,1840,40153.0
are,1850,40153.0
are,1860,40222.0
are,1870,40889.0
are,1880,42682.0
are,1890,45189.0
are,1900,47854.0
are,1910,50669.0
are,1920,54703.0
are,1930,59498.0
are,1940,64713.0
are,1950,69590.0
are,1951,67972.0
are,1952,69813.0
are,1953,73184.0
are,1954,76708.0
are,1955,79566.0
are,1956,81515.0
are,1957,82870.0
are,1958,84420.0
are,1959,87303.0
are,1960,92612.0
are,1961,100985.0
are,1962,112240.0
are,1963,125216.0
are,1964,138220.0
are,1965,150318.0
are,1966,161077.0
are,1967,171781.0
are,1968,185312.0
are,1969,205570.0
are,1970,235434.0
are,1971,275160.0
are,1972,324069.0
are,1973,382823.0
are,1974,451948.0
are,1975,531265.0
are,1976,622051.0
are,1977,722849.0
are,1978,827394.0
are,1979,927303.0
are,1980,1016789.0
are,1981,1093108.0
are,1982,1158477.0
are,1983,1218223.0
are,1984,1280278.0
are,1985,1350433.0
are,1986,1430548.0
are,1987,1518991.0
are,1988,1613904.0
are,1989,1712117.0
are,1990,1811458.0
are,1991,1913190.0
are,1992,2019014.0
are,1993,2127863.0
are,1994,2238281.0
are,1995,2350192.0
are,1996,2467726.0
are,1997,2595220.0
are,1998,2733770.0
are,1999,2884188.0
are,2000,3050128.0
are,2001,3217865.0
are,2002,3394060.0
are,2003,3625798.0
are,2004,3975945.0
are,2005,4481976.0
are,2006,5171255.0
are,2007,6010100.0
are,2008,6900142.0
are,2009,7705423.0
are,2010,8329453.0
are,2011,8734722.0
are,2012,8952542.0
are,2013,9039978.0
are,2014,9086139.0
are,2015,9156963.0
arg,1800,534000.0
arg,1810,534000.0
arg,1820,570719.0
arg,1830,686703.0
arg,1840,873747.0
arg,1850,1113189.0
arg,1860,1421333.0
arg,1870,1856886.0
arg,1880,2493156.0
arg,1890,3402273.0
arg,1900,4756635.0
arg,1910,6852668.0
arg,1920,8884894.0
arg,1930,11898249.0
arg,1940,14200813.0
arg,1950,17150335.0
arg,1951,17507132.0
arg,1952,17866097.0
arg,1953,18224150.0
arg,1954,18579041.0
arg,1955,18929350.0
arg,1956,19274526.0
arg,1957,19614848.0
arg,1958,19951326.0
arg,1959,20285530.0
arg,1960,20619075.0
arg,1961,20953079.0
arg,1962,21287682.0
arg,1963,21621845.0
arg,1964,21953926.0
arg,1965,22283389.0
arg,1966,22608747.0
arg,1967,22932201.0
arg,1968,23261273.0
arg,1969,23605992.0
arg,1970,23973062.0
arg,1971,24366442.0
arg,1972,24782950.0
arg,1973,25213388.0
arg,1974,25644505.0
arg,1975,26066975.0
arg,1976,26477153.0
arg,1977,26878567.0
arg,1978,27277742.0
arg,1979,27684530.0
arg,1980,28105889.0
arg,1981,28543366.0
arg,1982,28993989.0
arg,1983,29454739.0
arg,1984,29920907.0
arg,1985,30388781.0
arg,1986,30857242.0
arg,1987,31326473.0
arg,1988,31795515.0
arg,1989,32263559.0
arg,1990,32729740.0
arg,1991,33193920.0
arg,1992,33655149.0
arg,1993,34110912.0
arg,1994,34558114.0
arg,1995,34994818.0
arg,1996,35419683.0
arg,1997,35833965.0
arg,1998,36241578.0
arg,1999,36648054.0
arg,2000,37057453.0
arg,2001,37471535.0
arg,2002,37889443.0
arg,2003,38309475.0
arg,2004,38728778.0
arg,2005,39145491.0
arg,2006,39558750.0
arg,2007,39969903.0
arg,2008,40381860.0
arg,2009,40798641.0
arg,2010,41222875.0
arg,2011,41655616.0
arg,2012,42095224.0
arg,2013,42538304.0
arg,2014,42980026.0
arg,2015,43416755.0
arm,1800,413326.0
arm,1810,413326.0
arm,1820,423527.0
arm,1830,453507.0
arm,1840,496835.0
arm,1850,544302.0
arm,1860,595928.0
arm,1870,652450.0
arm,1880,713957.0
arm,1890,781218.0
arm,1900,855313.0
arm,1910,936124.0
arm,1920,1025070.0
arm,1930,1123006.0
arm,1940,1230298.0
arm,1950,1353506.0
arm,1951,1382982.0
arm,1952,1419913.0
arm,1953,1463017.0
arm,1954,1511188.0
arm,1955,1563508.0
arm,1956,1619242.0
arm,1957,1677837.0
arm,1958,1738902.0
arm,1959,1802171.0
arm,1960,1867396.0
arm,1961,1934239.0
arm,1962,2002170.0
arm,1963,2070427.0
arm,1964,2138133.0
arm,1965,2204650.0
arm,1966,2269475.0
arm,1967,2332624.0
arm,1968,2394635.0
arm,1969,2456370.0
arm,1970,2518408.0
arm,1971,2580894.0
